archip;common_name;species;iucn_category_2021;description;story
None;Sharpe'S Lark;Mirafra Sharpii;EN;Endangered;
None;Sharpe'S Longclaw;Macronyx Sharpei;EN;Endangered;
None;Sharp-Tailed Tyrant;Culicivora Caudacuta;VU;Vulnerable;
None;Shelley'S Crimsonwing;Cryptospiza Shelleyi;EN;Endangered;
None;Secretarybird;Sagittarius Serpentarius;EN;Endangered;A bird of both elegance and power, it strides across African savannas with its long legs and distinctive feathered head crest. Its loud, clapping calls can be heard as it hunts snakes and other prey on foot. Habitat loss from agricultural expansion has placed this iconic bird at risk.
None;Shelley'S Eagle-Owl;Bubo Shelleyi;VU;Vulnerable;
None;Shoebill;Balaeniceps Rex;VU;Vulnerable;
None;Shore Plover;Thinornis Novaeseelandiae;EN;Endangered;
None;Short-Billed Black-Cockatoo;Zanda Latirostris;EN;Endangered;
None;Short-Crested Coquette;Lophornis Brachylophus;CR;Critically Endangered;
None;Short-Crested Monarch;Hypothymis Helenae;NT;Near Threatened;
None;Serendib Scops-Owl;Otus Thilohoffmanni;EN;Endangered;This tiny, nocturnal owl, with intricate patterns of brown and gray, is a master of camouflage in Sri Lanka's forests. Its soft, repetitive hoots resonate through the night, signaling its presence. Forest clearance for tea and rubber plantations has left this recently discovered species vulnerable.
None;Seychelles Magpie-Robin;Copsychus Sechellarum;EN;Endangered;Once reduced to just 16 individuals, this glossy black bird of the Seychelles has been brought back from the brink through dedicated conservation. It hops along the ground, foraging for insects. Habitat restoration and predator control have been key to its survival.
None;Short-Legged Ground-Roller;Brachypteracias Leptosomus;VU;Vulnerable;
None;Short-Tailed Albatross;Phoebastria Albatrus;VU;Vulnerable;
None;Short-Tailed Babbler;Pellorneum Malaccense;NT;Near Threatened;
None;Short-Tailed Frogmouth;Batrachostomus Poliolophus;NT;Near Threatened;
None;Short-Tailed Grasswren;Amytornis Merrotsyi;NT;Near Threatened;
None;Short-Toed Coucal;Centropus Rectunguis;VU;Vulnerable;
None;Shy Albatross;Thalassarche Cauta;NT;Near Threatened;
None;Shy Ground-Dove;Alopecoenas Stairi;VU;Vulnerable;
None;Siau Pitta;Erythropitta Palliceps;EN;Endangered;
None;Siau Scops-Owl;Otus Siaoensis;CR;Critically Endangered;
None;Siberian Crane;Leucogeranus Leucogeranus;CR;Critically Endangered;
None;Siberian Grouse;Falcipennis Falcipennis;NT;Near Threatened;
None;Sichuan Jay;Perisoreus Internigrans;VU;Vulnerable;
None;Sichuan Partridge;Arborophila Rufipectus;EN;Endangered;
None;Sickle-Winged Nightjar;Eleothreptus Anomalus;VU;Vulnerable;
None;Sierra Leone Prinia;Schistolais Leontica;EN;Endangered;
None;Sierra Nevada Brush-Finch;Arremon Basilicus;NT;Near Threatened;
None;Silver Oriole;Oriolus Mellianus;EN;Endangered;
None;Silvery Pigeon;Columba Argentina;CR;Critically Endangered;
None;Simeulue Parrot;Psittinus Abbotti;NT;Near Threatened;
None;Simeulue Scops-Owl;Otus Umbra;NT;Near Threatened;
None;Sinaloa Martin;Progne Sinaloae;VU;Vulnerable;
None;Sincora Antwren;Formicivora Grantsaui;EN;Endangered;
None;Sira Barbet;Capito Fitzpatricki;NT;Near Threatened;
None;Sira Curassow;Pauxi Koepckeae;CR;Critically Endangered;
None;Slaty Becard;Pachyramphus Spodiurus;VU;Vulnerable;
None;Slaty Bristlefront;Merulaxis Ater;NT;Near Threatened;
None;Slaty Egret;Egretta Vinaceigula;VU;Vulnerable;
None;Slaty-Backed Goshawk;Accipiter Luteoschistaceus;VU;Vulnerable;
None;Slaty-Backed Hemispingus;Poospiza Goeringi;NT;Near Threatened;
None;Slaty-Backed Jungle-Flycatcher;Vauriella Goodfellowi;NT;Near Threatened;
None;Slaty-Backed Thrush;Geokichla Schistacea;NT;Near Threatened;
None;Slender Antbird;Rhopornis Ardesiacus;EN;Endangered;
None;Slender-Billed Babbler;Argya Longirostris;VU;Vulnerable;
None;Slender-Billed Curlew;Numenius Tenuirostris;CR;Critically Endangered;
None;Slender-Billed Finch;Xenospingus Concolor;NT;Near Threatened;
None;Sulu Hornbill;Anthracoceros Montani;CR;Critically Endangered;A unique hornbill from the Philippines with a bright yellow bill and striking black plumage, it played a vital role in forest seed dispersal. Habitat destruction and hunting have decimated its population.
None;Slender-Billed Flufftail;Sarothrura Watersi;EN;Endangered;
None;Slender-Billed Vulture;Gyps Tenuirostris;CR;Critically Endangered;
None;Slender-Billed White-Eye;Zosterops Tenuirostris;NT;Near Threatened;
None;Snares Fernbird;Poodytes Caudatus;VU;Vulnerable;
None;Snares Island Snipe;Coenocorypha Huegeli;NT;Near Threatened;
None;Snares Penguin;Eudyptes Robustus;VU;Vulnerable;
None;Snares Tomtit;Petroica Dannefaerdi;VU;Vulnerable;
None;Snoring Rail;Aramidopsis Plateni;VU;Vulnerable;
None;Snow Mountain Quail;Anurophasis Monorthonyx;NT;Near Threatened;
None;Snowy Owl;Bubo Scandiacus;VU;Vulnerable;
None;Snowy Plover;Charadrius Nivosus;NT;Near Threatened;
None;Snowy-Cheeked Laughingthrush;Ianthocincla Sukatschewi;VU;Vulnerable;
None;Snowy-Throated Babbler;Stachyris Oglei;VU;Vulnerable;
None;Sociable Lapwing;Vanellus Gregarius;CR;Critically Endangered;
None;Socorro Mockingbird;Mimus Graysoni;CR;Critically Endangered;
None;Socorro Parula;Setophaga Graysoni;NT;Near Threatened;
None;Socorro Towhee;Pipilo Socorroensis;EN;Endangered;
None;Socorro Wren;Troglodytes Sissonii;NT;Near Threatened;
None;Socotra Bunting;Emberiza Socotrana;NT;Near Threatened;
None;Socotra Buzzard;Buteo Socotraensis;VU;Vulnerable;
None;Socotra Cisticola;Cisticola Haesitatus;NT;Near Threatened;
None;Socotra Cormorant;Phalacrocorax Nigrogularis;VU;Vulnerable;
None;Sokoke Pipit;Anthus Sokokensis;EN;Endangered;
None;Sokoke Scops-Owl;Otus Ireneae;EN;Endangered;
South America;Solitary Tinamou;Tinamus Solitarius;NT;Near Threatened;
None;Solomon Cicadabird;Edolisoma Holopolium;NT;Near Threatened;
None;Solomons Frogmouth;Rigidipenna Inexpectata;NT;Near Threatened;
None;Solomons Nightjar;Eurostopodus Nigripennis;VU;Vulnerable;
None;Solomons Pied Monarch;Symposiachrus Barbatus;NT;Near Threatened;
None;Somali Grosbeak;Rhynchostruthus Louisae;NT;Near Threatened;
Africa;Somali Ostrich;Struthio Molybdophanes;VU;Vulnerable;
None;Sombre Kingfisher;Todiramphus Funebris;VU;Vulnerable;
None;Sooty Albatross;Phoebetria Fusca;EN;Endangered;
None;Sooty Falcon;Falco Concolor;VU;Vulnerable;
None;Sooty Shearwater;Ardenna Grisea;NT;Near Threatened;
None;Sooty-Capped Babbler;Malacopteron Affine;NT;Near Threatened;
None;Sooty-Capped Puffbird;Nystactes Noanamae;NT;Near Threatened;
None;South Island Saddleback;Philesturnus Carunculatus;NT;Near Threatened;
None;South Pare White-Eye;Zosterops Winifredae;VU;Vulnerable;
None;South Philippine Dwarf-Kingfisher;Ceyx Mindanensis;VU;Vulnerable;
None;South Philippine Hawk-Eagle;Nisaetus Pinskeri;EN;Endangered;
None;Southern Bald Ibis;Geronticus Calvus;VU;Vulnerable;
None;Sierra Madre Sparrow;Xenospiza Baileyi;EN;Endangered;A rare songbird from Mexico, this sparrow lives in high-altitude grasslands. Its melodious trills are a symbol of the untouched beauty of its habitat. Livestock grazing and habitat fragmentation have made it critically endangered.
None;Southern Banded Snake-Eagle;Circaetus Fasciolatus;NT;Near Threatened;
None;Southern Black Bustard;Afrotis Afra;VU;Vulnerable;
None;Southern Bristle-Tyrant;Pogonotriccus Eximius;NT;Near Threatened;
New Zealand;Southern Brown Kiwi;Apteryx Australis;VU;Vulnerable;
None;Southern Festive Amazon;Amazona Festiva;NT;Near Threatened;
None;Southern Ground-Hornbill;Bucorvus Leadbeateri;VU;Vulnerable;
None;Southern Hylocitrea;Hylocitrea Bonthaina;EN;Endangered;
None;Southern Indigo-Banded Kingfisher;Ceyx Nigrirostris;NT;Near Threatened;
None;Southern Long-Tailed Woodcreeper;Deconychura Pallida;NT;Near Threatened;
None;Southern Mealy Amazon;Amazona Farinosa;NT;Near Threatened;
None;Southern Pintail;Anas Eatoni;VU;Vulnerable;
None;Southern Red-Breasted Plover;Charadrius Obscurus;CR;Critically Endangered;
None;Southern Rockhopper Penguin;Eudyptes Chrysocome;VU;Vulnerable;
None;Southern Royal Albatross;Diomedea Epomophora;VU;Vulnerable;
None;Southern Rufous Hornbill;Buceros Mindanensis;VU;Vulnerable;
None;Southern Silvery Kingfisher;Ceyx Argentatus;NT;Near Threatened;
None;Southern Sooty Woodpecker;Mulleripicus Fuliginosus;VU;Vulnerable;
None;Spanish Imperial Eagle;Aquila Adalberti;VU;Vulnerable;
None;Speckle-Chested Piculet;Picumnus Steindachneri;EN;Endangered;
None;Spectacled Duck;Speculanas Specularis;NT;Near Threatened;
None;Spectacled Eider;Somateria Fischeri;NT;Near Threatened;
None;Spectacled Petrel;Procellaria Conspicillata;VU;Vulnerable;
None;Spiny-Faced Antshrike;Xenornis Setifrons;NT;Near Threatened;
None;Swift Parrot;Lathamus Discolor;CR;Critically Endangered;Known for its rapid flight and bright green plumage, this migratory parrot adds a flash of color to Tasmanian forests. Logging and predation by sugar gliders have left it severely threatened.
None;Splendid Woodpecker;Campephilus Splendens;NT;Near Threatened;
None;Spoon-Billed Sandpiper;Calidris Pygmaea;CR;Critically Endangered;
None;Spot-Billed Pelican;Pelecanus Philippensis;NT;Near Threatened;
None;Spot-Breasted Antvireo;Dysithamnus Stictothorax;NT;Near Threatened;
None;Spot-Breasted Quail;Cyrtonyx Sallei;NT;Near Threatened;
None;Spot-Breasted White-Eye;Heleia Muelleri;NT;Near Threatened;
None;Spot-Necked Bulbul;Pycnonotus Tympanistrigus;NT;Near Threatened;
None;South Island Takahe;Porphyrio Hochstetteri;EN;Endangered;Once thought extinct, this flightless bird with vibrant blue and green plumage is a symbol of New Zealand's conservation success. Its soft, low-pitched calls echo through alpine grasslands, where it feeds on tussocks. Habitat restoration has brought it back from the brink, though its numbers remain fragile.
None;Spotted Bamboowren;Psilorhamphus Guttatus;NT;Near Threatened;
None;Spotted Crocias;Laniellus Albonotatus;NT;Near Threatened;
None;Spotted Greenshank;Tringa Guttifer;EN;Endangered;
None;Spotted Ground-Thrush;Geokichla Guttata;VU;Vulnerable;
None;Spotted Imperial-Pigeon;Ducula Carola;VU;Vulnerable;
None;Spotted Owl;Strix Occidentalis;NT;Near Threatened;
None;Spot-Throated Flameback;Dinopium Everetti;NT;Near Threatened;
None;Spot-Winged Parrotlet;Touit Stictopterus;NT;Near Threatened;
None;Spot-Winged Thrush;Geokichla Spiloptera;NT;Near Threatened;
None;Sprague'S Pipit;Anthus Spragueii;VU;Vulnerable;
None;Tahiti Monarch;Pomarea Nigra;CR;Critically Endangered;A charming flycatcher from Tahiti, it sports a sleek black body with white markings and a sweet melodic song. Its numbers are dwindling due to habitat loss and invasive predators.
None;Sri Lanka Blue Magpie;Urocissa Ornata;VU;Vulnerable;
None;Sri Lanka Hill Myna;Gracula Ptilogenys;NT;Near Threatened;
None;Sri Lanka Warbler;Elaphrornis Palliseri;NT;Near Threatened;
None;Sri Lanka Whistling-Thrush;Myophonus Blighi;EN;Endangered;
None;Sri Lanka Woodpigeon;Columba Torringtoniae;VU;Vulnerable;
None;St Helena Plover;Charadrius Sanctaehelenae;VU;Vulnerable;
None;Tooth-Billed Pigeon;Didunculus Strigirostris;CR;Critically Endangered;"""Known as the """"Little Dodo,"""" it boasts a robust build and dark, glossy plumage. Habitat loss and invasive species, like rats and pigs, have devastated its numbers.,"""
None;St Lucia Amazon;Amazona Versicolor;VU;Vulnerable;
None;St Lucia Black Finch;Melanospiza Richardsoni;EN;Endangered;
None;St Vincent Amazon;Amazona Guildingii;VU;Vulnerable;
None;Stejneger'S Petrel;Pterodroma Longirostris;VU;Vulnerable;
None;Steller'S Eider;Polysticta Stelleri;VU;Vulnerable;
None;Steller'S Sea-Eagle;Haliaeetus Pelagicus;VU;Vulnerable;
None;Steppe Eagle;Aquila Nipalensis;EN;Endangered;
None;Stewart Shag;Leucocarbo Chalconotus;VU;Vulnerable;
None;Stierling'S Woodpecker;Dendropicos Stierlingi;NT;Near Threatened;
None;Stitchbird;Notiomystis Cincta;VU;Vulnerable;
None;Storm'S Stork;Ciconia Stormi;EN;Endangered;
None;Straight-Billed Reedhaunter;Limnoctites Rectirostris;NT;Near Threatened;
None;St Lucia Oriole;Icterus Laudabilis;EN;Endangered;This striking black-and-yellow bird is a treasure of the Caribbean, its rich, flute-like song filling St. Lucia's forests. Revered in local folklore, it is also an indicator of the health of its ecosystem. Habitat loss from agriculture and development continues to threaten this vibrant species.
None;Trinidad Piping-Guan;Pipile Pipile;CR;Critically Endangered;A colorful forest bird of Trinidad, celebrated in local folklore for its vibrant plumage and melodious calls. Deforestation and overhunting have all but erased it from its natural landscape.
None;Strange-Tailed Tyrant;Alectrurus Risora;VU;Vulnerable;
None;Straw-Backed Tanager;Tangara Argyrofenges;VU;Vulnerable;
None;Straw-Headed Bulbul;Pycnonotus Zeylanicus;CR;Critically Endangered;
None;Streak-Breasted Bulbul;Hypsipetes Siquijorensis;EN;Endangered;
None;Streaked Bulbul;Ixos Malaccensis;NT;Near Threatened;
None;Streaked Reed-Warbler;Acrocephalus Sorghophilus;EN;Endangered;
None;Streaked Shearwater;Calonectris Leucomelas;NT;Near Threatened;
None;Streaky-Breasted Jungle-Flycatcher;Eumyias Additus;NT;Near Threatened;
None;Stresemann'S Bristlefront;Merulaxis Stresemanni;CR;Critically Endangered;
None;Striated Caracara;Phalcoboenus Australis;NT;Near Threatened;
None;Striated Lorikeet;Charmosyna Multistriata;NT;Near Threatened;
None;Striated Softtail;Thripophaga Macroura;VU;Vulnerable;
None;Stripe-Cheeked Bulbul;Arizelocichla Milanjensis;NT;Near Threatened;
None;Striped Wren-Babbler;Kenopia Striata;NT;Near Threatened;
None;Styan'S Bulbul;Pycnonotus Taivanus;VU;Vulnerable;
None;Subdesert Mesite;Monias Benschi;VU;Vulnerable;
None;Sucre Antpitta;Grallaricula Cumanensis;VU;Vulnerable;
None;Sula Dwarf-Kingfisher;Ceyx Wallacii;NT;Near Threatened;
None;Sula Fruit-Dove;Ramphiculus Mangoliensis;NT;Near Threatened;
None;Ultramarine Lorikeet;Vini Ultramarina;CR;Critically Endangered;This tiny lorikeet, with vibrant blue and white plumage, was a dazzling sight in Polynesia's forests. Habitat destruction and invasive species have decimated its population.
None;Sula Pitta;Erythropitta Dohertyi;NT;Near Threatened;
None;Sula Scops-Owl;Otus Sulaensis;NT;Near Threatened;
Sula Islands;Sula Scrubfowl;Megapodius Bernsteinii;VU;Vulnerable;
None;Olomao;Myadestes Lanaiensis;CR (PE);Critically Endangered (Possibly Extinct);A melodious Hawaiian thrush, it succumbed to habitat loss, disease, and introduced predators.
None;Sulawesi Hornbill;Rhabdotorrhinus Exarhatus;VU;Vulnerable;
None;Sulawesi Woodcock;Scolopax Celebensis;NT;Near Threatened;
None;Sulu Bleeding-Heart;Gallicolumba Menagei;CR;Critically Endangered;
None;Sulu Boobook;Ninox Reyi;VU;Vulnerable;
None;Sulu Bulbul;Hypsipetes Haynaldi;NT;Near Threatened;
None;Sulu Pygmy Woodpecker;Picoides Ramsayi;VU;Vulnerable;
None;Sulu Racquet-Tail;Prioniturus Verticalis;CR;Critically Endangered;
None;Sumatran Babbler;Pellorneum Buettikoferi;NT;Near Threatened;
None;Sumatran Cochoa;Cochoa Beccarii;VU;Vulnerable;
None;Sumatran Drongo;Dicrurus Sumatranus;NT;Near Threatened;
None;Sumatran Green-Pigeon;Treron Oxyurus;NT;Near Threatened;
None;Sumatran Ground-Cuckoo;Carpococcyx Viridis;CR;Critically Endangered;
None;Sumatran Leafbird;Chloropsis Media;EN;Endangered;
None;Sumatran Mesia;Leiothrix Laurinae;EN;Endangered;
None;Sumatran Whistling-Thrush;Myophonus Castaneus;NT;Near Threatened;
None;Sumatran Woodpecker;Picus Dedemi;NT;Near Threatened;
None;Sumba Boobook;Ninox Rudolfi;NT;Near Threatened;
None;Sumba Brown Flycatcher;Muscicapa Segregata;NT;Near Threatened;
None;Sumba Buttonquail;Turnix Everetti;VU;Vulnerable;
None;Sumba Eclectus;Eclectus Cornelia;EN;Endangered;
None;Sumba Green-Pigeon;Treron Teysmannii;NT;Near Threatened;
None;Sumba Hornbill;Rhyticeros Everetti;EN;Endangered;
None;Sumichrast'S Wren;Hylorchilus Sumichrasti;NT;Near Threatened;
None;Sun Parakeet;Aratinga Solstitialis;EN;Endangered;
None;Sunda Laughingthrush;Garrulax Palliatus;NT;Near Threatened;
None;Sunda Teal;Anas Gibberifrons;NT;Near Threatened;
None;Sumatran Laughingthrush;Garrulax Bicolor;EN;Endangered;Its glossy black feathers and bright orange bill make this bird a standout in Sumatra's rainforests. Known for its melodious, laughing calls, it is a favorite among bird enthusiasts and collectors, leading to rampant poaching. Deforestation for palm oil plantations exacerbates its decline.
None;Superb Pitta;Pitta Superba;EN;Endangered;
None;Swallow-Tailed Cotinga;Phibalura Flavirostris;NT;Near Threatened;
None;Swamp Francolin;Francolinus Gularis;VU;Vulnerable;
None;Swamp Grass-Babbler;Laticilla Cinerascens;EN;Endangered;
None;Swan Goose;Anser Cygnoid;VU;Vulnerable;
None;Swierstra'S Francolin;Pternistis Swierstrai;EN;Endangered;
None;Swinhoe'S Pheasant;Lophura Swinhoii;NT;Near Threatened;
None;Swinhoe'S Rail;Coturnicops Exquisitus;VU;Vulnerable;
None;Swinhoe'S Storm-Petrel;Hydrobates Monorhis;NT;Near Threatened;
None;Swynnerton'S Robin;Swynnertonia Swynnertoni;VU;Vulnerable;
None;Syrian Serin;Serinus Syriacus;VU;Vulnerable;
None;Tabar Pitta;Erythropitta Splendida;VU;Vulnerable;
None;Tablas Drongo;Dicrurus Menagei;EN;Endangered;
None;Tablas Fantail;Rhipidura Sauli;VU;Vulnerable;
None;Tacarcuna Tapaculo;Scytalopus Panamensis;NT;Near Threatened;
None;Tachira Antpitta;Grallaria Chthonia;CR;Critically Endangered;
Andes;Taczanowski'S Tinamou;Nothoprocta Taczanowskii;VU;Vulnerable;
None;Tagula Butcherbird;Cracticus Louisiadensis;NT;Near Threatened;
None;Tagula White-Eye;Zosterops Meeki;NT;Near Threatened;
None;Tahiti Petrel;Pseudobulweria Rostrata;NT;Near Threatened;
None;Tahiti Reed-Warbler;Acrocephalus Caffer;VU;Vulnerable;
None;Taita Apalis;Apalis Fuscigularis;CR;Critically Endangered;
None;Taita Falcon;Falco Fasciinucha;VU;Vulnerable;
None;Taita White-Eye;Zosterops Silvanus;EN;Endangered;
None;Taiwan Green-Pigeon;Treron Formosae;NT;Near Threatened;
None;Taiwan Hwamei;Garrulax Taewanus;NT;Near Threatened;
None;Talaud Bush-Hen;Amaurornis Magnirostris;VU;Vulnerable;
None;Talaud Kingfisher;Todiramphus Enigma;NT;Near Threatened;
None;Talaud Pitta;Erythropitta Inspeculata;VU;Vulnerable;
None;Talaud Rail;Gymnocrex Talaudensis;EN;Endangered;
None;Vietnamese Crested Argus;Rheinardia Ocellata;CR;Critically Endangered;With remarkable tail feathers that shimmer with metallic hues, this pheasant was often depicted in traditional Vietnamese art. Its delicate beauty was no match for the relentless expansion of agriculture and hunting pressures.
None;Taliabu Masked-Owl;Tyto Nigrobrunnea;VU;Vulnerable;
None;Tamaulipas Pygmy-Owl;Glaucidium Sanchezi;NT;Near Threatened;
None;Tanahjampea Blue-Flycatcher;Cyornis Djampeanus;NT;Near Threatened;
None;Tanimbar Bush-Warbler;Horornis Carolinae;NT;Near Threatened;
None;Tanimbar Corella;Cacatua Goffiniana;NT;Near Threatened;
None;Tanimbar Eclectus;Eclectus Riedeli;VU;Vulnerable;
None;Tanimbar Flyrobin;Microeca Hemixantha;NT;Near Threatened;
Tanimbar Islands;Tanimbar Scrubfowl;Megapodius Tenimberensis;VU;Vulnerable;
None;Tanimbar Starling;Aplonis Crassa;NT;Near Threatened;
None;Tapajos Hermit;Phaethornis Aethopygus;VU;Vulnerable;
None;Tatamá Tapaculo;Scytalopus Alvarezlopezi;NT;Near Threatened;
None;Taveuni Silktail;Lamprolia Victoriae;NT;Near Threatened;
None;Taveuni Streaked Fantail;Rhipidura Rufilateralis;NT;Near Threatened;
None;Tawitawi Brown-Dove;Phapitreron Cinereiceps;EN;Endangered;
None;Tawny Eagle;Aquila Rapax;VU;Vulnerable;
None;Tawny Piculet;Picumnus Fulvescens;NT;Near Threatened;
None;Tawny Tit-Spinetail;Sylviorthorhynchus Yanacensis;NT;Near Threatened;
None;Tawny-Breasted Wren-Babbler;Spelaeornis Longicaudatus;VU;Vulnerable;
None;Tawny-Chested Flycatcher;Aphanotriccus Capitalis;VU;Vulnerable;
None;Teardrop White-Eye;Rukia Ruki;EN;Endangered;
None;Taita Thrush;Turdus Helleri;EN;Endangered;Endemic to Kenya's Taita Hills, this thrush has a striking orange breast and melodious song. It inhabits the montane forests, feeding on insects and fruits. Deforestation has severely fragmented its habitat, leaving it clinging to survival.
None;Temminck'S Seedeater;Sporophila Falcirostris;VU;Vulnerable;
None;Tenerife Blue Chaffinch;Fringilla Teydea;NT;Near Threatened;
None;Tenggara Hill Myna;Gracula Venerata;EN;Endangered;
None;Three-Toed Jacamar;Jacamaralcyon Tridactyla;NT;Near Threatened;
None;Three-Wattled Bellbird;Procnias Tricarunculatus;VU;Vulnerable;
None;Thyolo Alethe;Chamaetylas Choloensis;VU;Vulnerable;
None;Tibetan Babax;Pterorhinus Koslowi;NT;Near Threatened;
None;Tibetan Bunting;Emberiza Koslowi;NT;Near Threatened;
None;Tibetan Eared-Pheasant;Crossoptilon Harmani;NT;Near Threatened;
None;Tickell'S Brown Hornbill;Anorrhinus Tickelli;NT;Near Threatened;
None;Timneh Parrot;Psittacus Timneh;EN;Endangered;
None;Timor Green-Pigeon;Treron Psittaceus;EN;Endangered;
None;Timor Imperial-Pigeon;Ducula Cineracea;NT;Near Threatened;
None;Timor Sparrow;Lonchura Fuscata;NT;Near Threatened;
None;Tinian Monarch;Metabolus Takatsukasae;VU;Vulnerable;
None;Titicaca Grebe;Rollandia Microptera;EN;Endangered;
None;Togian Boobook;Ninox Burhani;NT;Near Threatened;
None;Togian White-Eye;Zosterops Somadikartai;NT;Near Threatened;
None;Tolima Blossomcrown;Anthocephala Berlepschi;VU;Vulnerable;
None;Tolima Dove;Leptotila Conoveri;NT;Near Threatened;
Tonga;Tongan Scrubfowl;Megapodius Pritchardii;VU;Vulnerable;
None;Tongan Whistler;Pachycephala Jacquinoti;NT;Near Threatened;
None;Tooth-Billed Wren;Odontorchilus Cinereus;NT;Near Threatened;
None;Toucan Barbet;Semnornis Ramphastinus;NT;Near Threatened;
None;Townsend'S Shearwater;Puffinus Auricularis;CR;Critically Endangered;
None;Townsend'S Storm-Petrel;Hydrobates Socorroensis;EN;Endangered;
None;Tres Marias Chat;Granatellus Francescae;NT;Near Threatened;
None;Tres Marias Hummingbird;Cynanthus Lawrencei;NT;Near Threatened;
None;Tricolored Blackbird;Agelaius Tricolor;EN;Endangered;
None;Trindade Petrel;Pterodroma Arminjoniana;VU;Vulnerable;
None;Tristan Albatross;Diomedea Dabbenena;CR;Critically Endangered;
None;Tristan Thrush;Turdus Eremita;NT;Near Threatened;
None;Tropeiro Seedeater;Sporophila Beltoni;VU;Vulnerable;
None;Tsingy Wood-Rail;Mentocrex Beankaensis;VU;Vulnerable;
None;Tuamotu Kingfisher;Todiramphus Gambieri;CR;Critically Endangered;
None;Thick-Billed Parrot;Rhynchopsitta Pachyrhyncha;EN;Endangered;This vivid green parrot, with a robust bill and playful personality, is a social bird found in Mexico's pine forests. Its loud, raucous squawks echo through the trees as it forages for seeds. Logging and habitat destruction have driven this species close to extinction in the wild.
None;Tuamotu Sandpiper;Prosobonia Parvirostris;EN;Endangered;
None;Tucuman Amazon;Amazona Tucumana;VU;Vulnerable;
None;Tucuman Mountain-Finch;Poospiza Baeri;VU;Vulnerable;
None;Tufted Jay;Cyanocorax Dickeyi;NT;Near Threatened;
None;Tumbes Tyrant;Ochthoeca Salvini;NT;Near Threatened;
None;Turner'S Eremomela;Eremomela Turneri;NT;Near Threatened;
None;Turquoise Cotinga;Cotinga Ridgwayi;VU;Vulnerable;
None;Turquoise Dacnis;Dacnis Hartlaubi;VU;Vulnerable;
None;Turquoise-Fronted Amazon;Amazona Aestiva;NT;Near Threatened;
None;Tuxtla Quail-Dove;Zentrygon Carrikeri;EN;Endangered;
None;Tytler'S Leaf-Warbler;Phylloscopus Tytleri;NT;Near Threatened;
None;Waved Albatross;Phoebastria Irrorata;CR;Critically Endangered;With its majestic wingspan and elegant, rhythmic flight, this albatross was a symbol of freedom over the seas. Fishing bycatch and climate change have caused significant population declines.
None;Udzungwa Forest-Partridge;Xenoperdix Udzungwensis;EN;Endangered;
None;Uluguru Bush-Shrike;Malaconotus Alius;EN;Endangered;
None;Unicolored Antwren;Myrmotherula Unicolor;NT;Near Threatened;
None;Unicolored Thrush;Turdus Haplochrous;NT;Near Threatened;
None;Upper Magdalena Parakeet;Pyrrhura Chapmani;VU;Vulnerable;
None;Urich'S Tyrannulet;Phyllomyias Urichi;EN;Endangered;
None;Urrao Antpitta;Grallaria Fenwickorum;CR;Critically Endangered;
None;Usambara Akalat;Sheppardia Montana;EN;Endangered;
None;Usambara Double-Collared Sunbird;Cinnyris Usambaricus;NT;Near Threatened;
None;Usambara Hyliota;Hyliota Usambara;EN;Endangered;
None;Usambara Thrush;Turdus Roehli;NT;Near Threatened;
None;Usambara Weaver;Ploceus Nicolli;NT;Near Threatened;
None;Vampire Ground-Finch;Geospiza Septentrionalis;VU;Vulnerable;
None;Van Dam'S Vanga;Xenopirostris Damii;EN;Endangered;
None;Vanikoro Monarch;Mayrornis Schistaceus;VU;Vulnerable;
None;Vanuatu Kingfisher;Todiramphus Farquhari;NT;Near Threatened;
Vanuatu;Vanuatu Scrubfowl;Megapodius Layardi;VU;Vulnerable;
None;Varzea Piculet;Picumnus Varzeae;EN;Endangered;
None;Vella Lavella White-Eye;Zosterops Vellalavella;NT;Near Threatened;
None;Velvet Scoter;Melanitta Fusca;VU;Vulnerable;
None;Venezuelan Bristle-Tyrant;Pogonotriccus Venezuelanus;NT;Near Threatened;
None;Venezuelan Flowerpiercer;Diglossa Venezuelensis;EN;Endangered;
None;Venezuelan Sylph;Aglaiocercus Berlepschi;EN;Endangered;
None;Venezuelan Wood-Quail;Odontophorus Columbianus;NT;Near Threatened;
None;Victoria Crowned-Pigeon;Goura Victoria;NT;Near Threatened;
None;Vietnam Pheasant;Lophura Edwardsi;CR;Critically Endangered;
None;Vietnamese Cutia;Cutia Legalleni;NT;Near Threatened;
None;Vilcabamba Brush-Finch;Atlapetes Terborghi;NT;Near Threatened;
None;Violet-Capped Hummingbird;Goldmania Violiceps;NT;Near Threatened;
None;Visayan Hornbill;Penelopides Panini;EN;Endangered;
None;Visayan Pygmy Babbler;Dasycrotapha Pygmaea;NT;Near Threatened;
None;Visayan Rhabdornis;Rhabdornis Rabori;VU;Vulnerable;
None;Visayan Scops-Owl;Otus Nigrorum;VU;Vulnerable;
None;Visayan Wattled Broadbill;Sarcophanops Samarensis;VU;Vulnerable;
None;Vitelline Warbler;Setophaga Vitellina;NT;Near Threatened;
None;Volcano Swiftlet;Aerodramus Vulcanorum;NT;Near Threatened;
None;Vulturine Parrot;Pyrilia Vulturina;VU;Vulnerable;
None;Wahnes'S Parotia;Parotia Wahnesi;NT;Near Threatened;
New Guinea;Waigeo Brush-Turkey;Aepypodius Bruijnii;EN;Endangered;
